,county_state,poppct_urban,poppct_rural
0,Autauga_AL,58.0,42.0
1,Baldwin_AL,57.72,42.28
2,Barbour_AL,32.21,67.79
3,Bibb_AL,31.65,68.35
4,Blount_AL,10.05,89.95
5,Bullock_AL,48.63,51.37
6,Butler_AL,28.77,71.23
7,Calhoun_AL,66.3,33.7
8,Chambers_AL,50.85,49.15
9,Cherokee_AL,14.26,85.74
10,Chilton_AL,13.26,86.74
11,Choctaw_AL,0.0,100.0
12,Clarke_AL,24.02,75.98
13,Clay_AL,0.0,100.0
14,Cleburne_AL,0.0,100.0
15,Coffee_AL,52.8,47.2
16,Colbert_AL,56.11,43.89
17,Conecuh_AL,19.05,80.95
18,Coosa_AL,0.0,100.0
19,Covington_AL,30.35,69.65
20,Crenshaw_AL,0.0,100.0
21,Cullman_AL,26.76,73.24
22,Dale_AL,49.11,50.89
23,Dallas_AL,54.36,45.64
24,DeKalb_AL,9.87,90.13
25,Elmore_AL,45.81,54.19
26,Escambia_AL,36.49,63.51
27,Etowah_AL,62.52,37.48
28,Fayette_AL,19.77,80.23
29,Franklin_AL,29.63,70.37
30,Geneva_AL,10.36,89.64
31,Greene_AL,0.0,100.0
32,Hale_AL,10.83,89.17
33,Henry_AL,12.25,87.75
34,Houston_AL,66.2,33.8
35,Jackson_AL,22.98,77.02
36,Jefferson_AL,90.17,9.83
37,Lamar_AL,0.0,100.0
38,Lauderdale_AL,50.7,49.3
39,Lawrence_AL,8.71,91.29
40,Lee_AL,72.59,27.41
41,Limestone_AL,42.39,57.61
42,Lowndes_AL,0.0,100.0
43,Macon_AL,44.45,55.55
44,Madison_AL,83.56,16.44
45,Marengo_AL,30.68,69.32
46,Marion_AL,11.15,88.85
47,Marshall_AL,46.73,53.27
48,Mobile_AL,79.98,20.02
49,Monroe_AL,20.96,79.04
50,Montgomery_AL,89.51,10.49
51,Morgan_AL,61.4,38.6
52,Perry_AL,0.0,100.0
53,Pickens_AL,0.0,100.0
54,Pike_AL,48.32,51.68
55,Randolph_AL,18.66,81.34
56,Russell_AL,64.59,35.41
57,St. Clair_AL,27.2,72.8
58,Shelby_AL,77.06,22.94
59,Sumter_AL,0.0,100.0
60,Talladega_AL,44.18,55.82
61,Tallapoosa_AL,25.77,74.23
62,Tuscaloosa_AL,74.49,25.51
63,Walker_AL,25.91,74.09
64,Washington_AL,0.0,100.0
65,Wilcox_AL,0.0,100.0
66,Winston_AL,15.11,84.89
67,Aleutians East_AK,0.0,100.0
68,Aleutians West_AK,0.0,100.0
69,Anchorage_AK,95.88,4.12
70,Bethel_AK,26.06,73.94
71,Bristol Bay_AK,0.0,100.0
72,Denali_AK,0.0,100.0
73,Dillingham_AK,0.0,100.0
74,Fairbanks North Star_AK,69.13,30.87
75,Haines_AK,0.0,100.0
76,Hoonah-Angoon_AK,0.0,100.0
77,Juneau_AK,78.46,21.54
78,Kenai Peninsula_AK,20.66,79.34
79,Ketchikan Gateway_AK,76.81,23.19
80,Kodiak Island_AK,68.68,31.32
81,Lake and Peninsula_AK,0.0,100.0
82,Matanuska-Susitna_AK,49.71,50.29
83,Nome_AK,33.94,66.06
84,North Slope_AK,40.67,59.33
85,Northwest Arctic_AK,42.54,57.46
86,Petersburg_AK,0.0,100.0
87,Prince of Wales-Hyder_AK,0.0,100.0
88,Sitka_AK,79.12,20.88
89,Skagway_AK,0.0,100.0
90,Southeast Fairbanks_AK,0.0,100.0
91,Valdez-Cordova_AK,0.0,100.0
92,Wade Hampton_AK,0.0,100.0
93,Wrangell_AK,0.0,100.0
94,Yakutat_AK,0.0,100.0
95,Yukon-Koyukuk_AK,0.0,100.0
96,Apache_AZ,25.94,74.06
97,Cochise_AZ,63.7,36.3
98,Coconino_AZ,68.53,31.47
99,Gila_AZ,58.94,41.06
100,Graham_AZ,53.56,46.44
101,Greenlee_AZ,53.43,46.57
102,La Paz_AZ,43.67,56.33
103,Maricopa_AZ,97.64,2.36
104,Mohave_AZ,77.04,22.96
105,Navajo_AZ,45.86,54.14
106,Pima_AZ,92.48,7.52
107,Pinal_AZ,78.1,21.9
108,Santa Cruz_AZ,73.12,26.88
109,Yavapai_AZ,66.8,33.2
110,Yuma_AZ,89.57,10.43
111,Arkansas_AR,65.29,34.71
112,Ashley_AR,48.32,51.68
113,Baxter_AR,34.16,65.84
114,Benton_AR,74.84,25.16
115,Boone_AR,37.8,62.2
116,Bradley_AR,50.41,49.59
117,Calhoun_AR,0.0,100.0
118,Carroll_AR,27.17,72.83
119,Chicot_AR,45.72,54.28
120,Clark_AR,45.62,54.38
121,Clay_AR,41.14,58.86
122,Cleburne_AR,24.48,75.52
123,Cleveland_AR,0.0,100.0
124,Columbia_AR,42.51,57.49
125,Conway_AR,29.48,70.52
126,Craighead_AR,67.83,32.17
127,Crawford_AR,48.04,51.96
128,Crittenden_AR,79.11,20.89
129,Cross_AR,43.21,56.79
130,Dallas_AR,47.36,52.64
131,Desha_AR,68.58,31.42
132,Drew_AR,51.39,48.61
133,Faulkner_AR,61.24,38.76
134,Franklin_AR,17.4,82.6
135,Fulton_AR,7.08,92.92
136,Garland_AR,63.1,36.9
137,Grant_AR,24.97,75.03
138,Greene_AR,58.49,41.51
139,Hempstead_AR,44.23,55.77
140,Hot Spring_AR,34.03,65.97
141,Howard_AR,32.48,67.52
142,Independence_AR,31.42,68.58
143,Izard_AR,0.0,100.0
144,Jackson_AR,34.94,65.06
145,Jefferson_AR,69.08,30.92
146,Johnson_AR,28.63,71.37
147,Lafayette_AR,0.0,100.0
148,Lawrence_AR,36.44,63.56
149,Lee_AR,36.49,63.51
150,Lincoln_AR,0.0,100.0
151,Little River_AR,31.48,68.52
152,Logan_AR,28.98,71.02
153,Lonoke_AR,55.19,44.81
154,Madison_AR,0.0,100.0
155,Marion_AR,0.0,100.0
156,Miller_AR,59.99,40.01
157,Mississippi_AR,63.73,36.27
158,Monroe_AR,31.02,68.98
159,Montgomery_AR,0.0,100.0
160,Nevada_AR,30.82,69.18
161,Newton_AR,0.0,100.0
162,Ouachita_AR,43.65,56.35
163,Perry_AR,0.0,100.0
164,Phillips_AR,52.03,47.97
165,Pike_AR,0.0,100.0
166,Poinsett_AR,28.86,71.14
167,Polk_AR,26.61,73.39
168,Pope_AR,45.51,54.49
169,Prairie_AR,0.0,100.0
170,Pulaski_AR,87.72,12.28
171,Randolph_AR,32.58,67.42
172,St. Francis_AR,48.45,51.55
173,Saline_AR,63.84,36.16
174,Scott_AR,29.64,70.36
175,Searcy_AR,0.0,100.0
176,Sebastian_AR,79.19,20.81
177,Sevier_AR,36.4,63.6
178,Sharp_AR,19.94,80.06
179,Stone_AR,0.0,100.0
180,Union_AR,45.5,54.5
181,Van Buren_AR,0.0,100.0
182,Washington_AR,74.51,25.49
183,White_AR,45.68,54.32
184,Woodruff_AR,0.0,100.0
185,Yell_AR,20.87,79.13
186,Alameda_CA,99.61,0.39
187,Alpine_CA,0.0,100.0
188,Amador_CA,39.58,60.42
189,Butte_CA,81.1,18.9
190,Calaveras_CA,24.59,75.41
191,Colusa_CA,68.28,31.72
192,Contra Costa_CA,99.21,0.79
193,Del Norte_CA,66.33,33.67
194,El Dorado_CA,65.3,34.7
195,Fresno_CA,89.19,10.81
196,Glenn_CA,59.13,40.87
197,Humboldt_CA,70.24,29.76
198,Imperial_CA,82.58,17.42
199,Inyo_CA,53.57,46.43
200,Kern_CA,89.79,10.21
201,Kings_CA,89.15,10.85
202,Lake_CA,66.89,33.11
203,Lassen_CA,29.47,70.53
204,Los Angeles_CA,99.39,0.61
205,Madera_CA,67.08,32.92
206,Marin_CA,93.48,6.52
207,Mariposa_CA,0.0,100.0
208,Mendocino_CA,54.77,45.23
209,Merced_CA,85.73,14.27
210,Modoc_CA,30.04,69.96
211,Mono_CA,54.17,45.83
212,Monterey_CA,90.18,9.82
213,Napa_CA,86.6,13.4
214,Nevada_CA,57.87,42.13
215,Orange_CA,99.86,0.14
216,Placer_CA,86.21,13.79
217,Plumas_CA,25.98,74.02
218,Riverside_CA,95.38,4.62
219,Sacramento_CA,97.94,2.06
220,San Benito_CA,76.0,24.0
221,San Bernardino_CA,95.27,4.73
222,San Diego_CA,96.7,3.3
223,San Francisco_CA,100.0,0.0
224,San Joaquin_CA,91.53,8.47
225,San Luis Obispo_CA,83.4,16.6
226,San Mateo_CA,98.11,1.89
227,Santa Barbara_CA,94.98,5.02
228,Santa Clara_CA,98.92,1.08
229,Santa Cruz_CA,87.96,12.04
230,Shasta_CA,70.71,29.29
231,Sierra_CA,0.28,99.72
232,Siskiyou_CA,34.17,65.83
233,Solano_CA,96.28,3.72
234,Sonoma_CA,87.65,12.35
235,Stanislaus_CA,92.02,7.98
236,Sutter_CA,85.2,14.8
237,Tehama_CA,48.51,51.49
238,Trinity_CA,0.0,100.0
239,Tulare_CA,84.52,15.48
240,Tuolumne_CA,51.03,48.97
241,Ventura_CA,96.88,3.12
242,Yolo_CA,93.07,6.93
243,Yuba_CA,73.78,26.22
244,Adams_CO,96.38,3.62
245,Alamosa_CO,63.13,36.87
246,Arapahoe_CO,98.42,1.58
247,Archuleta_CO,40.62,59.38
248,Baca_CO,0.0,100.0
249,Bent_CO,62.04,37.96
250,Boulder_CO,91.09,8.91
251,Broomfield_CO,99.42,0.58
252,Chaffee_CO,62.59,37.41
253,Cheyenne_CO,0.0,100.0
254,Clear Creek_CO,0.0,100.0
255,Conejos_CO,0.0,100.0
256,Costilla_CO,0.0,100.0
257,Crowley_CO,0.0,100.0
258,Custer_CO,0.0,100.0
259,Delta_CO,36.83,63.17
260,Denver_CO,100.0,0.0
261,Dolores_CO,0.0,100.0
262,Douglas_CO,89.71,10.29
263,Eagle_CO,80.02,19.98
264,Elbert_CO,0.0,100.0
265,El Paso_CO,91.07,8.93
266,Fremont_CO,73.58,26.42
267,Garfield_CO,75.9,24.1
268,Gilpin_CO,0.0,100.0
269,Grand_CO,17.4,82.6
270,Gunnison_CO,41.39,58.61
271,Hinsdale_CO,0.0,100.0
272,Huerfano_CO,43.85,56.15
273,Jackson_CO,0.0,100.0
274,Jefferson_CO,93.1,6.9
275,Kiowa_CO,0.0,100.0
276,Kit Carson_CO,51.31,48.69
277,Lake_CO,68.93,31.07
278,La Plata_CO,40.05,59.95
279,Larimer_CO,88.34,11.66
280,Las Animas_CO,59.21,40.79
