,county_state,UV
0,Autauga_AL,4563
1,Baldwin_AL,4492
2,Barbour_AL,4642
3,Bibb_AL,4499
4,Blount_AL,4416
5,Bullock_AL,4629
6,Butler_AL,4579
7,Calhoun_AL,4466
8,Chambers_AL,4584
9,Cherokee_AL,4419
10,Chilton_AL,4529
11,Choctaw_AL,4476
12,Clarke_AL,4488
13,Clay_AL,4518
14,Cleburne_AL,4486
15,Coffee_AL,4628
16,Colbert_AL,4408
17,Conecuh_AL,4551
18,Coosa_AL,4545
19,Covington_AL,4597
20,Crenshaw_AL,4607
21,Cullman_AL,4402
22,Dale_AL,4644
23,Dallas_AL,4540
24,DeKalb_AL,4358
25,Elmore_AL,4588
26,Escambia_AL,4535
27,Etowah_AL,4422
28,Fayette_AL,4449
29,Franklin_AL,4415
30,Geneva_AL,4638
31,Greene_AL,4484
32,Hale_AL,4493
33,Henry_AL,4652
34,Houston_AL,4658
35,Jackson_AL,4328
36,Jefferson_AL,4456
37,Lamar_AL,4459
38,Lauderdale_AL,4391
39,Lawrence_AL,4391
40,Lee_AL,4609
41,Limestone_AL,4366
42,Lowndes_AL,4582
43,Macon_AL,4620
44,Madison_AL,4352
45,Marengo_AL,4495
46,Marion_AL,4432
47,Marshall_AL,4377
48,Mobile_AL,4466
49,Monroe_AL,4520
50,Montgomery_AL,4610
51,Morgan_AL,4380
52,Perry_AL,4513
53,Pickens_AL,4474
54,Pike_AL,4626
55,Randolph_AL,4539
56,Russell_AL,4635
57,St. Clair_AL,4454
58,Shelby_AL,4492
59,Sumter_AL,4482
60,Talladega_AL,4503
61,Tallapoosa_AL,4574
62,Tuscaloosa_AL,4471
63,Walker_AL,4439
64,Washington_AL,4470
65,Wilcox_AL,4529
66,Winston_AL,4411
67,Apache_AZ,5329
68,Cochise_AZ,5675
69,Coconino_AZ,5164
70,Gila_AZ,5510
71,Graham_AZ,5630
72,Greenlee_AZ,5597
73,La Paz_AZ,5633
74,Maricopa_AZ,5655
75,Mohave_AZ,5425
76,Navajo_AZ,5268
77,Pima_AZ,5680
78,Pinal_AZ,5689
79,Santa Cruz_AZ,5649
80,Yavapai_AZ,5398
81,Yuma_AZ,5625
82,Arkansas_AR,4547
83,Ashley_AR,4579
84,Baxter_AR,4432
85,Benton_AR,4437
86,Boone_AR,4424
87,Bradley_AR,4571
88,Calhoun_AR,4571
89,Carroll_AR,4422
90,Chicot_AR,4582
91,Clark_AR,4566
92,Clay_AR,4427
93,Cleburne_AR,4469
94,Cleveland_AR,4557
95,Columbia_AR,4590
96,Conway_AR,4495
