,county_state
127,"Carson City, Nevada_NV"
200,Henry_VA
203,James City_VA
216,Montgomery_VA
225,Pittsylvania_VA
228,Prince George_VA
229,Prince William_VA
233,Roanoke_VA
234,Rockbridge_VA
235,Rockingham_VA
240,Southampton_VA
241,Spotsylvania_VA
247,Washington_VA
249,Wise_VA
251,York_VA
252,"Alexandria city, Virginia_VA"
253,"Bristol city, Virginia_VA"
254,"Buena Vista city, Virginia_VA"
255,"Charlottesville city, Virginia_VA"
256,"Chesapeake city, Virginia_VA"
257,"Colonial Heights city, Virginia_VA"
258,"Danville city, Virginia_VA"
259,"Falls Church city, Virginia_VA"
260,"Franklin city, Virginia_VA"
261,"Fredericksburg city, Virginia_VA"
262,"Hampton city, Virginia_VA"
263,"Harrisonburg city, Virginia_VA"
264,"Hopewell city, Virginia_VA"
265,"Lynchburg city, Virginia_VA"
266,"Manassas city, Virginia_VA"
267,"Newport News city, Virginia_VA"
268,"Norfolk city, Virginia_VA"
269,"Norton city, Virginia_VA"
270,"Petersburg city, Virginia_VA"
271,"Poquoson city, Virginia_VA"
272,"Portsmouth city, Virginia_VA"
273,"Radford city, Virginia_VA"
274,"Richmond city, Virginia_VA"
275,"Roanoke city, Virginia_VA"
276,"Salem city, Virginia_VA"
277,"Staunton city, Virginia_VA"
278,"Suffolk city, Virginia_VA"
279,"Virginia Beach city, Virginia_VA"
280,"Waynesboro city, Virginia_VA"
281,"Williamsburg city, Virginia_VA"
282,"Winchester city, Virginia_VA"
797,"Bienville Parish, Louisiana_LA"
798,"Bossier Parish, Louisiana_LA"
799,"Caddo Parish, Louisiana_LA"
800,"Calcasieu Parish, Louisiana_LA"
801,"Caldwell Parish, Louisiana_LA"
802,"Cameron Parish, Louisiana_LA"
803,"Catahoula Parish, Louisiana_LA"
804,"Claiborne Parish, Louisiana_LA"
805,"Concordia Parish, Louisiana_LA"
806,"De Soto Parish, Louisiana_LA"
807,"East Baton Rouge Parish, Louisiana_LA"
808,"East Carroll Parish, Louisiana_LA"
809,"East Feliciana Parish, Louisiana_LA"
810,"Evangeline Parish, Louisiana_LA"
811,"Franklin Parish, Louisiana_LA"
812,"Grant Parish, Louisiana_LA"
813,"Iberia Parish, Louisiana_LA"
814,"Iberville Parish, Louisiana_LA"
815,"Jackson Parish, Louisiana_LA"
816,"Jefferson Parish, Louisiana_LA"
817,"Jefferson Davis Parish, Louisiana_LA"
818,"Lafayette Parish, Louisiana_LA"
819,"Lafourche Parish, Louisiana_LA"
820,"LaSalle Parish, Louisiana_LA"
821,"Lincoln Parish, Louisiana_LA"
822,"Livingston Parish, Louisiana_LA"
823,"Madison Parish, Louisiana_LA"
824,"Morehouse Parish, Louisiana_LA"
825,"Natchitoches Parish, Louisiana_LA"
826,"Orleans Parish, Louisiana_LA"
827,"Ouachita Parish, Louisiana_LA"
828,"Plaquemines Parish, Louisiana_LA"
829,"Pointe Coupee Parish, Louisiana_LA"
830,"Rapides Parish, Louisiana_LA"
831,"Red River Parish, Louisiana_LA"
832,"Richland Parish, Louisiana_LA"
833,"Sabine Parish, Louisiana_LA"
834,"St. Bernard Parish, Louisiana_LA"
835,"St. Charles Parish, Louisiana_LA"
836,"St. Helena Parish, Louisiana_LA"
837,"St. James Parish, Louisiana_LA"
838,"St. John the Baptist Parish, Louisiana_LA"
839,"St. Landry Parish, Louisiana_LA"
840,"St. Martin Parish, Louisiana_LA"
841,"St. Mary Parish, Louisiana_LA"
842,"St. Tammany Parish, Louisiana_LA"
843,"Tangipahoa Parish, Louisiana_LA"
844,"Tensas Parish, Louisiana_LA"
845,"Terrebonne Parish, Louisiana_LA"
846,"Union Parish, Louisiana_LA"
847,"Vermilion Parish, Louisiana_LA"
848,"Vernon Parish, Louisiana_LA"
849,"Washington Parish, Louisiana_LA"
850,"Webster Parish, Louisiana_LA"
851,"West Baton Rouge Parish, Louisiana_LA"
852,"West Carroll Parish, Louisiana_LA"
853,"West Feliciana Parish, Louisiana_LA"
854,"Winn Parish, Louisiana_LA"
894,"Baltimore city, Maryland_MD"
955,Albemarle_VA
956,Alleghany_VA
961,Augusta_VA
968,Campbell_VA
970,Carroll_VA
979,Dinwiddie_VA
981,Fairfax_VA
986,Frederick_VA
992,Greensville_VA
1044,Adams_CO
1050,Boulder_CO
1051,Broomfield_CO
1074,Jefferson_CO
1406,Weld_CO
1421,"District of Columbia, District of Columbia_DC"
2063,"St. Louis city, Missouri_MO"
2203,LaGrange_IN
2315,Maui_HI
2335,Fremont_ID
2619,"Acadia Parish, Louisiana_LA"
2620,"Allen Parish, Louisiana_LA"
2621,"Ascension Parish, Louisiana_LA"
2622,"Assumption Parish, Louisiana_LA"
2623,"Avoyelles Parish, Louisiana_LA"
2624,"Beauregard Parish, Louisiana_LA"
2713,"Aleutians West Census Area, Alaska_AK"
2714,"Anchorage Municipality, Alaska_AK"
2715,"Bethel Census Area, Alaska_AK"
2717,"Dillingham Census Area, Alaska_AK"
2718,"Fairbanks North Star Borough, Alaska_AK"
2719,"Haines Borough, Alaska_AK"
2720,"Juneau City and Borough, Alaska_AK"
2721,"Kenai Peninsula Borough, Alaska_AK"
2722,"Ketchikan Gateway Borough, Alaska_AK"
2723,"Kodiak Island Borough, Alaska_AK"
2724,"Matanuska-Susitna Borough, Alaska_AK"
2725,"Nome Census Area, Alaska_AK"
2726,"North Slope Borough, Alaska_AK"
2728,"Northwest Arctic Borough, Alaska_AK"
2729,"Sitka City and Borough, Alaska_AK"
2730,"Southeast Fairbanks Census Area, Alaska_AK"
2731,"Valdez-Cordova Census Area, Alaska_AK"
2732,"Yukon-Koyukuk Census Area, Alaska_AK"
